wise,|S|,target_axis,target_abbr,S,S_abbr,vary_axis,vary_abbr,label,flip_soft,gap,n_contexts_total,n_contexts_used_flip,n_contexts_used_gap,n_contexts_skipped_both
4wise,3,disability_status,DIS,appearance_body_status|location|gender,APP LOC,gender,GEN,APP LOC {GEN} | DIS,0.14673835226822432,0.15664586464441305,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|location|age,ETH AGE,location,LOC,ETH AGE {LOC} | DIS,0.145065570836884,0.37989914698854454,30,30,30,0
4wise,3,disability_status,DIS,location|age|gender,LOC AGE,gender,GEN,LOC AGE {GEN} | DIS,0.14457109055304948,0.15828077313587555,48,48,48,0
4wise,3,appearance_body_status,APP,age|gender|disability_status,GEN DIS,age,AGE,GEN DIS {AGE} | APP,0.14425400596605897,0.332095930085665,4,4,4,0
4wise,3,appearance_body_status,APP,location|gender|disability_status,LOC DIS,gender,GEN,LOC DIS {GEN} | APP,0.14284327940084146,0.1842964062226634,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|gender,ETH AGE,gender,GEN,ETH AGE {GEN} | APP,0.1419759268782654,0.1787423051961112,30,30,30,0
4wise,3,disability_status,DIS,race_ethnicity|location|age,LOC AGE,race_ethnicity,ETH,LOC AGE {ETH} | DIS,0.1416725027003817,0.3137019734422177,48,48,48,0
4wise,3,disability_status,DIS,appearance_body_status|location|age,APP AGE,location,LOC,APP AGE {LOC} | DIS,0.13987995623905017,0.35613709456846715,12,12,12,0
4wise,3,appearance_body_status,APP,location|age|gender,LOC AGE,gender,GEN,LOC AGE {GEN} | APP,0.1380580710130671,0.18065298963671741,48,48,48,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|gender,ETH APP,gender,GEN,ETH APP {GEN} | DIS,0.13458681363835076,0.14360576343045275,10,10,10,0
4wise,3,disability_status,DIS,race_ethnicity|age|gender,ETH AGE,gender,GEN,ETH AGE {GEN} | DIS,0.13445456636270206,0.14414623011469424,30,30,30,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|disability_status,ETH LOC,disability_status,DIS,ETH LOC {DIS} | APP,0.13215570927619322,0.163124272406225,40,40,40,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|disability_status,LOC DIS,race_ethnicity,ETH,LOC DIS {ETH} | APP,0.13078446199417768,0.3203052422712125,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|disability_status,ETH DIS,location,LOC,ETH DIS {LOC} | APP,0.12852366448901792,0.38509122402300766,10,10,10,0
4wise,3,appearance_body_status,APP,age|gender|disability_status,AGE DIS,gender,GEN,AGE DIS {GEN} | APP,0.1284733069441776,0.1771610725485151,12,12,12,0
4wise,3,disability_status,DIS,appearance_body_status|age|gender,APP AGE,gender,GEN,APP AGE {GEN} | DIS,0.12841191319285142,0.14028582079452656,12,12,12,0
4wise,3,disability_status,DIS,race_ethnicity|location|gender,LOC GEN,race_ethnicity,ETH,LOC GEN {ETH} | DIS,0.12751787996011196,0.28198995065895943,16,16,16,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|age,APP AGE,location,LOC,APP AGE {LOC} | ETH,0.1242515753065357,0.3135500283412926,12,12,12,0
4wise,3,race_ethnicity,ETH,location|age|disability_status,AGE DIS,location,LOC,AGE DIS {LOC} | ETH,0.12356428106716504,0.3139780972948031,12,12,12,0
4wise,3,disability_status,DIS,race_ethnicity|location|gender,ETH GEN,location,LOC,ETH GEN {LOC} | DIS,0.11940697468555594,0.3339224179318145,10,10,10,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|age,LOC AGE,race_ethnicity,ETH,LOC AGE {ETH} | APP,0.11805585490442905,0.28314848538310106,48,48,48,0
4wise,3,appearance_body_status,APP,location|age|disability_status,AGE DIS,location,LOC,AGE DIS {LOC} | APP,0.11629488155955765,0.3409853146156909,12,12,12,0
4wise,3,disability_status,DIS,appearance_body_status|age|gender,AGE GEN,appearance_body_status,APP,AGE GEN {APP} | DIS,0.11330345632096067,0.12104444113449764,12,12,12,0
4wise,3,appearance_body_status,APP,location|age|disability_status,LOC AGE,disability_status,DIS,LOC AGE {DIS} | APP,0.11319116443974132,0.1434340899317625,48,48,48,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|gender,APP GEN,location,LOC,APP GEN {LOC} | ETH,0.11175063515569976,0.2672485241674508,4,4,4,0
4wise,3,disability_status,DIS,location|age|gender,AGE GEN,location,LOC,AGE GEN {LOC} | DIS,0.10957521002003046,0.2983175776220003,12,12,12,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|gender,ETH GEN,appearance_body_status,APP,ETH GEN {APP} | DIS,0.10900461213384056,0.11832453318971725,10,10,10,0
4wise,3,disability_status,DIS,appearance_body_status|location|gender,APP GEN,location,LOC,APP GEN {LOC} | DIS,0.10711709988318321,0.27730183060644115,4,4,4,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|age,ETH AGE,location,LOC,ETH AGE {LOC} | APP,0.10703048456829918,0.31642037907088466,30,30,30,0
4wise,3,race_ethnicity,ETH,location|age|gender,AGE GEN,location,LOC,AGE GEN {LOC} | ETH,0.10624884077577738,0.26407733860276716,12,12,12,0
4wise,3,disability_status,DIS,appearance_body_status|location|gender,LOC GEN,appearance_body_status,APP,LOC GEN {APP} | DIS,0.1058844671079998,0.10794560690692054,16,16,16,0
4wise,3,race_ethnicity,ETH,location|age|disability_status,LOC DIS,age,AGE,LOC DIS {AGE} | ETH,0.10334261784408189,0.24926264991994596,16,16,16,0
4wise,3,race_ethnicity,ETH,location|gender|disability_status,GEN DIS,location,LOC,GEN DIS {LOC} | ETH,0.10314362001792586,0.25336503360577567,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|age,APP LOC,age,AGE,APP LOC {AGE} | ETH,0.10283449797734598,0.2567274813719526,16,16,16,0
4wise,3,age,AGE,appearance_body_status|location|disability_status,APP DIS,location,LOC,APP DIS {LOC} | AGE,0.1013072745313687,0.27321878362440044,4,4,4,0
4wise,3,gender,GEN,appearance_body_status|location|disability_status,APP LOC,disability_status,DIS,APP LOC {DIS} | GEN,0.09991045071228682,0.10524384493763132,16,16,16,0
4wise,3,age,AGE,appearance_body_status|location|disability_status,LOC DIS,appearance_body_status,APP,LOC DIS {APP} | AGE,0.09830275529715411,0.10270573911583807,16,16,16,0
4wise,3,disability_status,DIS,race_ethnicity|appearance_body_status|gender,APP GEN,race_ethnicity,ETH,APP GEN {ETH} | DIS,0.09785083329381979,0.21951846706330036,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|disability_status,APP LOC,disability_status,DIS,APP LOC {DIS} | ETH,0.09779957767739172,0.10153503444154216,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|disability_status,AGE DIS,race_ethnicity,ETH,AGE DIS {ETH} | APP,0.09720745300185153,0.21615659452189204,12,12,12,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|location,ETH LOC,appearance_body_status,APP,ETH LOC {APP} | AGE,0.09651824230973673,0.10062273758596849,40,40,40,0
4wise,3,age,AGE,appearance_body_status|location|disability_status,APP LOC,disability_status,DIS,APP LOC {DIS} | AGE,0.09361722545322632,0.0984168629659062,16,16,16,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|gender,APP GEN,age,AGE,APP GEN {AGE} | ETH,0.09330011328379824,0.23218583065998488,4,4,4,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|location,ETH APP,location,LOC,ETH APP {LOC} | AGE,0.09207009087569927,0.2427897469351184,10,10,10,0
4wise,3,appearance_body_status,APP,race_ethnicity|gender|disability_status,GEN DIS,race_ethnicity,ETH,GEN DIS {ETH} | APP,0.09167516242455195,0.20579558705495737,4,4,4,0
4wise,3,disability_status,DIS,race_ethnicity|age|gender,AGE GEN,race_ethnicity,ETH,AGE GEN {ETH} | DIS,0.09072158947478876,0.20726833280527693,12,12,12,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|location,APP LOC,race_ethnicity,ETH,APP LOC {ETH} | AGE,0.08959511737277841,0.19915488782009194,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|gender,LOC GEN,race_ethnicity,ETH,LOC GEN {ETH} | APP,0.08945800780708263,0.20362073549814103,16,16,16,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|disability_status,LOC DIS,appearance_body_status,APP,LOC DIS {APP} | ETH,0.08823504705710605,0.0887604328284107,16,16,16,0
4wise,3,gender,GEN,race_ethnicity|location|disability_status,LOC DIS,race_ethnicity,ETH,LOC DIS {ETH} | GEN,0.08823333321495659,0.17345976703325275,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|disability_status,ETH AGE,disability_status,DIS,ETH AGE {DIS} | APP,0.08786699205750355,0.10642478786811194,30,30,30,0
4wise,3,age,AGE,race_ethnicity|location|disability_status,LOC DIS,race_ethnicity,ETH,LOC DIS {ETH} | AGE,0.08772055621118358,0.20272060891099403,16,16,16,0
4wise,3,race_ethnicity,ETH,location|age|gender,LOC GEN,age,AGE,LOC GEN {AGE} | ETH,0.08715850533352178,0.21152692933081307,16,16,16,0
4wise,3,age,AGE,appearance_body_status|gender|disability_status,APP DIS,gender,GEN,APP DIS {GEN} | AGE,0.0868896952812932,0.08368426337308954,4,4,4,0
4wise,3,gender,GEN,race_ethnicity|age|disability_status,AGE DIS,race_ethnicity,ETH,AGE DIS {ETH} | GEN,0.08648374332041875,0.15553171237553753,12,12,12,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|gender,ETH APP,gender,GEN,ETH APP {GEN} | AGE,0.0859340272730735,0.08320910270161333,10,10,10,0
4wise,3,race_ethnicity,ETH,location|age|disability_status,LOC AGE,disability_status,DIS,LOC AGE {DIS} | ETH,0.08468408218086955,0.09336656590918486,48,48,48,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|disability_status,ETH DIS,appearance_body_status,APP,ETH DIS {APP} | AGE,0.08406932432849973,0.08952055009552237,10,10,10,0
4wise,3,gender,GEN,race_ethnicity|location|age,LOC AGE,race_ethnicity,ETH,LOC AGE {ETH} | GEN,0.0832262658333496,0.1538403373305833,48,48,48,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|disability_status,ETH APP,disability_status,DIS,ETH APP {DIS} | AGE,0.08319149437444694,0.09202917078325243,10,10,10,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|disability_status,APP DIS,race_ethnicity,ETH,APP DIS {ETH} | AGE,0.08317477489132678,0.18201546519771059,4,4,4,0
4wise,3,age,AGE,appearance_body_status|location|gender,APP LOC,gender,GEN,APP LOC {GEN} | AGE,0.0828913206592519,0.08412822150960489,16,16,16,0
4wise,3,gender,GEN,appearance_body_status|location|disability_status,APP DIS,location,LOC,APP DIS {LOC} | GEN,0.08130054651650993,0.2273901686997744,4,4,4,0
4wise,3,age,AGE,race_ethnicity|location|gender,ETH LOC,gender,GEN,ETH LOC {GEN} | AGE,0.08105171260403528,0.07871252606495496,40,40,40,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|disability_status,APP DIS,age,AGE,APP DIS {AGE} | ETH,0.08045938998927031,0.19960571589564274,4,4,4,0
4wise,3,appearance_body_status,APP,location|gender|disability_status,GEN DIS,location,LOC,GEN DIS {LOC} | APP,0.08045828031563639,0.23704108039834046,4,4,4,0
4wise,3,appearance_body_status,APP,race_ethnicity|location|gender,ETH GEN,location,LOC,ETH GEN {LOC} | APP,0.08025052806283295,0.22780546282773112,10,10,10,0
4wise,3,gender,GEN,race_ethnicity|location|disability_status,ETH LOC,disability_status,DIS,ETH LOC {DIS} | GEN,0.0798057451644173,0.09070800751587475,40,40,40,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|age,APP AGE,race_ethnicity,ETH,APP AGE {ETH} | GEN,0.07950560146209816,0.1448457371975468,12,12,12,0
4wise,3,age,AGE,race_ethnicity|gender|disability_status,ETH DIS,gender,GEN,ETH DIS {GEN} | AGE,0.07887271806007055,0.07924684523713853,10,10,10,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|disability_status,APP DIS,race_ethnicity,ETH,APP DIS {ETH} | GEN,0.07872331198754937,0.16152574162241562,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|gender,APP AGE,gender,GEN,APP AGE {GEN} | ETH,0.07776521982042744,0.08224845748980245,12,12,12,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|location,APP LOC,race_ethnicity,ETH,APP LOC {ETH} | GEN,0.07677779071188315,0.1613478840254532,16,16,16,0
4wise,3,appearance_body_status,APP,race_ethnicity|age|gender,AGE GEN,race_ethnicity,ETH,AGE GEN {ETH} | APP,0.07653440315331587,0.17065114215758106,12,12,12,0
4wise,3,age,AGE,appearance_body_status|location|gender,LOC GEN,appearance_body_status,APP,LOC GEN {APP} | AGE,0.07643077682559699,0.08232491779425177,16,16,16,0
4wise,3,age,AGE,location|gender|disability_status,LOC DIS,gender,GEN,LOC DIS {GEN} | AGE,0.07537050626221478,0.07488175872819405,16,16,16,0
4wise,3,location,LOC,race_ethnicity|age|disability_status,ETH DIS,age,AGE,ETH DIS {AGE} | LOC,0.07499435495717022,0.1733141927131026,10,10,10,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|disability_status,AGE DIS,appearance_body_status,APP,AGE DIS {APP} | ETH,0.07371149124366082,0.07859223762901658,12,12,12,0
4wise,3,gender,GEN,appearance_body_status|age|disability_status,APP AGE,disability_status,DIS,APP AGE {DIS} | GEN,0.0732611729827696,0.08141620960411232,12,12,12,0
4wise,3,age,AGE,race_ethnicity|location|disability_status,ETH DIS,location,LOC,ETH DIS {LOC} | AGE,0.07289742891843512,0.1965873429989212,10,10,10,0
4wise,3,race_ethnicity,ETH,age|gender|disability_status,GEN DIS,age,AGE,GEN DIS {AGE} | ETH,0.07264105482286613,0.19209280246468474,4,4,4,0
4wise,3,gender,GEN,location|age|disability_status,LOC AGE,disability_status,DIS,LOC AGE {DIS} | GEN,0.0713530991633262,0.08408788176246736,48,48,48,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|age,ETH APP,age,AGE,ETH APP {AGE} | LOC,0.07012193119845464,0.1731267224792527,10,10,10,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|gender,AGE GEN,appearance_body_status,APP,AGE GEN {APP} | ETH,0.07010156633100541,0.07609689180516284,12,12,12,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|disability_status,ETH APP,disability_status,DIS,ETH APP {DIS} | LOC,0.06966971700022413,0.07162121907127326,10,10,10,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|age,LOC AGE,appearance_body_status,APP,LOC AGE {APP} | ETH,0.06858569492361127,0.07448072270636892,48,48,48,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|gender,ETH GEN,appearance_body_status,APP,ETH GEN {APP} | AGE,0.0680862912451729,0.07373239124803307,10,10,10,0
4wise,3,race_ethnicity,ETH,age|gender|disability_status,AGE DIS,gender,GEN,AGE DIS {GEN} | ETH,0.06787950260629479,0.07168625891221096,12,12,12,0
4wise,3,location,LOC,appearance_body_status|age|disability_status,APP DIS,age,AGE,APP DIS {AGE} | LOC,0.06721611904930944,0.1508815821388597,4,4,4,0
4wise,3,location,LOC,race_ethnicity|age|disability_status,ETH AGE,disability_status,DIS,ETH AGE {DIS} | LOC,0.06714354276856209,0.0696971548157852,30,30,30,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|location,ETH LOC,appearance_body_status,APP,ETH LOC {APP} | GEN,0.06696840243027671,0.0721443134291872,40,40,40,0
4wise,3,appearance_body_status,APP,location|gender|disability_status,LOC GEN,disability_status,DIS,LOC GEN {DIS} | APP,0.06598982003720606,0.07823701624403304,16,16,16,0
4wise,3,location,LOC,race_ethnicity|age|disability_status,AGE DIS,race_ethnicity,ETH,AGE DIS {ETH} | LOC,0.06566780596568543,0.14305932835739346,12,12,12,0
4wise,3,location,LOC,appearance_body_status|gender|disability_status,GEN DIS,appearance_body_status,APP,GEN DIS {APP} | LOC,0.06532096689105735,0.07094637910562451,4,4,4,0
4wise,3,location,LOC,appearance_body_status|gender|disability_status,APP DIS,gender,GEN,APP DIS {GEN} | LOC,0.06532096689105735,0.07094637910562451,4,4,4,0
4wise,3,age,AGE,race_ethnicity|location|disability_status,ETH LOC,disability_status,DIS,ETH LOC {DIS} | AGE,0.06513479217456801,0.07384438193742586,40,40,40,0
4wise,3,race_ethnicity,ETH,location|age|gender,LOC AGE,gender,GEN,LOC AGE {GEN} | ETH,0.06447710234402602,0.0675539885903081,48,48,48,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|location,ETH APP,location,LOC,ETH APP {LOC} | GEN,0.06444941937241308,0.1756400094646668,10,10,10,0
4wise,3,age,AGE,race_ethnicity|location|gender,LOC GEN,race_ethnicity,ETH,LOC GEN {ETH} | AGE,0.06413497608948088,0.1440741828457462,16,16,16,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|age,APP AGE,race_ethnicity,ETH,APP AGE {ETH} | LOC,0.0635180593003808,0.13597972278330092,12,12,12,0
4wise,3,gender,GEN,appearance_body_status|location|disability_status,LOC DIS,appearance_body_status,APP,LOC DIS {APP} | GEN,0.06297920275617813,0.06912087332444518,16,16,16,0
4wise,3,gender,GEN,race_ethnicity|location|disability_status,ETH DIS,location,LOC,ETH DIS {LOC} | GEN,0.0625645732291784,0.17572367969170555,10,10,10,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|disability_status,ETH APP,disability_status,DIS,ETH APP {DIS} | GEN,0.0608781101220535,0.06365630934557995,10,10,10,0
4wise,3,age,AGE,race_ethnicity|gender|disability_status,GEN DIS,race_ethnicity,ETH,GEN DIS {ETH} | AGE,0.05998728447460243,0.13926477181877644,4,4,4,0
4wise,3,appearance_body_status,APP,race_ethnicity|gender|disability_status,ETH GEN,disability_status,DIS,ETH GEN {DIS} | APP,0.059707323719606166,0.06817487777029628,10,10,10,0
4wise,3,gender,GEN,race_ethnicity|age|disability_status,ETH AGE,disability_status,DIS,ETH AGE {DIS} | GEN,0.05889232309384089,0.06697300565490195,30,30,30,0
4wise,3,age,AGE,appearance_body_status|location|gender,APP GEN,location,LOC,APP GEN {LOC} | AGE,0.058560982605509834,0.15849508391536657,4,4,4,0
4wise,3,location,LOC,age|gender|disability_status,GEN DIS,age,AGE,GEN DIS {AGE} | LOC,0.05854153107086288,0.13826494494804845,4,4,4,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|disability_status,ETH DIS,appearance_body_status,APP,ETH DIS {APP} | LOC,0.057731876083085346,0.06159250802821795,10,10,10,0
4wise,3,location,LOC,age|gender|disability_status,AGE DIS,gender,GEN,AGE DIS {GEN} | LOC,0.05744959079869599,0.06133899206916723,12,12,12,0
4wise,3,race_ethnicity,ETH,age|gender|disability_status,AGE GEN,disability_status,DIS,AGE GEN {DIS} | ETH,0.05741729680005899,0.06220634757560329,12,12,12,0
4wise,3,location,LOC,race_ethnicity|age|gender,ETH GEN,age,AGE,ETH GEN {AGE} | LOC,0.05709401326250714,0.1315592438168728,10,10,10,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|disability_status,APP DIS,race_ethnicity,ETH,APP DIS {ETH} | LOC,0.05685740079660645,0.12391512962613493,4,4,4,0
4wise,3,appearance_body_status,APP,location|age|gender,AGE GEN,location,LOC,AGE GEN {LOC} | APP,0.056174157965209186,0.14525992369619106,12,12,12,0
4wise,3,age,AGE,appearance_body_status|gender|disability_status,APP GEN,disability_status,DIS,APP GEN {DIS} | AGE,0.0554290558422208,0.06200501150711568,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|gender,LOC GEN,appearance_body_status,APP,LOC GEN {APP} | ETH,0.055240315331590996,0.056347449372691906,16,16,16,0
4wise,3,age,AGE,race_ethnicity|appearance_body_status|gender,APP GEN,race_ethnicity,ETH,APP GEN {ETH} | AGE,0.05499193044717761,0.11705735266732464,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|location|gender,APP LOC,gender,GEN,APP LOC {GEN} | ETH,0.05440426650104787,0.05747404021868969,16,16,16,0
4wise,3,age,AGE,race_ethnicity|location|gender,ETH GEN,location,LOC,ETH GEN {LOC} | AGE,0.05361216234503756,0.14709957955141414,10,10,10,0
4wise,3,race_ethnicity,ETH,location|gender|disability_status,LOC GEN,disability_status,DIS,LOC GEN {DIS} | ETH,0.053048379555949175,0.054863224845034426,16,16,16,0
4wise,3,race_ethnicity,ETH,location|gender|disability_status,LOC DIS,gender,GEN,LOC DIS {GEN} | ETH,0.0525173497432175,0.05734933313182714,16,16,16,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|disability_status,ETH DIS,appearance_body_status,APP,ETH DIS {APP} | GEN,0.050853468410731004,0.05785639810622809,10,10,10,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|age,ETH AGE,appearance_body_status,APP,ETH AGE {APP} | LOC,0.04998770432806323,0.056161188044559295,30,30,30,0
4wise,3,location,LOC,appearance_body_status|age|disability_status,APP AGE,disability_status,DIS,APP AGE {DIS} | LOC,0.04970868541855872,0.0484519878578466,12,12,12,0
4wise,3,location,LOC,appearance_body_status|age|gender,APP GEN,age,AGE,APP GEN {AGE} | LOC,0.049503907261971486,0.1114840853432831,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|age|disability_status,APP AGE,disability_status,DIS,APP AGE {DIS} | ETH,0.04929452060590603,0.05239736170715962,12,12,12,0
4wise,3,age,AGE,appearance_body_status|gender|disability_status,GEN DIS,appearance_body_status,APP,GEN DIS {APP} | AGE,0.048193678028141895,0.05534335986749045,4,4,4,0
4wise,3,location,LOC,appearance_body_status|age|disability_status,AGE DIS,appearance_body_status,APP,AGE DIS {APP} | LOC,0.04793440328402034,0.05176692744818279,12,12,12,0
4wise,3,age,AGE,location|gender|disability_status,LOC GEN,disability_status,DIS,LOC GEN {DIS} | AGE,0.04622186054392046,0.053684041817860136,16,16,16,0
4wise,3,gender,GEN,location|age|disability_status,AGE DIS,location,LOC,AGE DIS {LOC} | GEN,0.04621799213259866,0.12422686036460785,12,12,12,0
4wise,3,gender,GEN,appearance_body_status|location|age,LOC AGE,appearance_body_status,APP,LOC AGE {APP} | GEN,0.04603209058537264,0.04981225292745137,48,48,48,0
4wise,3,location,LOC,race_ethnicity|age|gender,ETH AGE,gender,GEN,ETH AGE {GEN} | LOC,0.04557369981579183,0.049984162990824865,30,30,30,0
4wise,3,location,LOC,race_ethnicity|gender|disability_status,ETH GEN,disability_status,DIS,ETH GEN {DIS} | LOC,0.04330747044310982,0.046695081539691194,10,10,10,0
4wise,3,location,LOC,age|gender|disability_status,AGE GEN,disability_status,DIS,AGE GEN {DIS} | LOC,0.043168392321760174,0.04600133675433321,12,12,12,0
4wise,3,location,LOC,appearance_body_status|age|gender,APP AGE,gender,GEN,APP AGE {GEN} | LOC,0.04297835452726847,0.04656579611670956,12,12,12,0
4wise,3,gender,GEN,appearance_body_status|location|age,APP AGE,location,LOC,APP AGE {LOC} | GEN,0.042698006804475164,0.122852716242972,12,12,12,0
4wise,3,location,LOC,race_ethnicity|gender|disability_status,ETH DIS,gender,GEN,ETH DIS {GEN} | LOC,0.04252866554493936,0.0472572291906979,10,10,10,0
4wise,3,appearance_body_status,APP,age|gender|disability_status,AGE GEN,disability_status,DIS,AGE GEN {DIS} | APP,0.04186423070818243,0.04708084776173362,12,12,12,0
4wise,3,location,LOC,race_ethnicity|age|gender,AGE GEN,race_ethnicity,ETH,AGE GEN {ETH} | LOC,0.04176468042135164,0.09298499462413413,12,12,12,0
4wise,3,age,AGE,location|gender|disability_status,GEN DIS,location,LOC,GEN DIS {LOC} | AGE,0.04141872909009463,0.11007039720163267,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|gender|disability_status,APP DIS,gender,GEN,APP DIS {GEN} | ETH,0.039247353103873756,0.040707320144682646,4,4,4,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|gender,ETH GEN,appearance_body_status,APP,ETH GEN {APP} | LOC,0.038571532544107875,0.03978195620543027,10,10,10,0
4wise,3,location,LOC,race_ethnicity|gender|disability_status,GEN DIS,race_ethnicity,ETH,GEN DIS {ETH} | LOC,0.03840508069256786,0.08852086998934969,4,4,4,0
4wise,3,age,AGE,race_ethnicity|gender|disability_status,ETH GEN,disability_status,DIS,ETH GEN {DIS} | AGE,0.03823245875224531,0.04169507834154559,10,10,10,0
4wise,3,race_ethnicity,ETH,appearance_body_status|gender|disability_status,GEN DIS,appearance_body_status,APP,GEN DIS {APP} | ETH,0.037939324568027205,0.03480623884712558,4,4,4,0
4wise,3,race_ethnicity,ETH,appearance_body_status|gender|disability_status,APP GEN,disability_status,DIS,APP GEN {DIS} | ETH,0.03752396127929794,0.03835468179204432,4,4,4,0
4wise,3,gender,GEN,race_ethnicity|location|age,ETH AGE,location,LOC,ETH AGE {LOC} | GEN,0.03675353887121244,0.09885424740607439,30,30,30,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|gender,ETH APP,gender,GEN,ETH APP {GEN} | LOC,0.03566177064995699,0.03716637996896478,10,10,10,0
4wise,3,gender,GEN,appearance_body_status|age|disability_status,AGE DIS,appearance_body_status,APP,AGE DIS {APP} | GEN,0.03424095039763115,0.033361466007514426,12,12,12,0
4wise,3,gender,GEN,race_ethnicity|appearance_body_status|age,ETH AGE,appearance_body_status,APP,ETH AGE {APP} | GEN,0.03211824407789276,0.03549192066989391,30,30,30,0
4wise,3,location,LOC,race_ethnicity|appearance_body_status|gender,APP GEN,race_ethnicity,ETH,APP GEN {ETH} | LOC,0.031837722619839304,0.06331915192815957,4,4,4,0
4wise,3,location,LOC,appearance_body_status|age|gender,AGE GEN,appearance_body_status,APP,AGE GEN {APP} | LOC,0.02893344707768547,0.0313445027050922,12,12,12,0
4wise,3,location,LOC,appearance_body_status|gender|disability_status,APP GEN,disability_status,DIS,APP GEN {DIS} | LOC,0.02332229176190262,0.020441049309972148,4,4,4,0
